Year,State,Deaths,Population,Crude,Adjusted
1999,Alabama,445,4430141,10,10
1999,Alaska,53,624779,8.5,8.9
1999,Arizona,470,5023823,9.4,9.2
1999,Arkansas,181,2651860,6.8,6.9
1999,California,2088,33499204,6.2,6.1
1999,Colorado,201,4226018,4.8,4.5
1999,Connecticut,122,3386401,3.6,3.7
1999,Delaware,24,774990,3.1,3
1999,District of Columbia,187,570213,32.8,29.8
1999,Florida,973,15759421,6.2,6.4
1999,Georgia,641,8045965,8,7.6
1999,Hawaii,39,1210300,3.2,3.2
1999,Idaho,32,1275674,2.5,2.5
1999,Illinois,1033,12359020,8.4,8.2
1999,Indiana,390,6044969,6.5,6.3
1999,Iowa,53,2917634,1.8,1.8
1999,Kansas,137,2678338,5.1,5.1
1999,Kentucky,212,4018053,5.3,5.2
1999,Louisiana,490,4460811,11,10.8
1999,Maine,25,1266808,2,2
1999,Maryland,533,5254509,10.1,10.2
1999,Massachusetts,133,6317345,2.1,2.1
1999,Michigan,768,9897116,7.8,7.7
1999,Minnesota,139,4873481,2.9,2.8
1999,Mississippi,314,2828408,11.1,11
1999,Missouri,389,5561948,7,7
1999,Montana,34,897507,3.8,3.9
1999,Nebraska,62,1704764,3.6,3.6
1999,Nevada,168,1934718,8.7,8.7
1999,New Hampshire,22,1222014,1.8,1.8
1999,New Jersey,303,8359592,3.6,3.6
1999,New Mexico,168,1808082,9.3,9.2
1999,New York,974,18882725,5.2,5.1
1999,North Carolina,658,7949361,8.3,8.1
1999,North Dakota,13,644259,NA,NA
1999,Ohio,458,11335454,4,4.1
1999,Oklahoma,233,3437147,6.8,6.7
1999,Oregon,109,3393941,3.2,3.2
1999,Pennsylvania,653,12263805,5.3,5.5
1999,Rhode Island,36,1040402,3.5,3.5
1999,South Carolina,318,3974682,8,7.9
1999,South Dakota,23,750412,3.1,3.2
1999,Tennessee,426,5638706,7.6,7.4
1999,Texas,1326,20558220,6.4,6.3
1999,Utah,51,2203482,2.3,2.3
1999,Vermont,17,604683,NA,NA
1999,Virginia,422,7000174,6,5.9
1999,Washington,190,5842564,3.3,3.2
1999,West Virginia,102,1811799,5.6,5.6
1999,Wisconsin,205,5332666,3.8,3.8
1999,Wyoming,13,491780,NA,NA
2000,Alabama,445,4447100,10,10
2000,Alaska,37,626932,5.9,5.6
2000,Arizona,414,5130632,8.1,8
2000,Arkansas,208,2673400,7.8,7.8
2000,California,2085,33871648,6.2,6
2000,Colorado,154,4301261,3.6,3.5
2000,Connecticut,95,3405565,2.8,2.9
2000,Delaware,23,783600,2.9,2.9
2000,District of Columbia,184,572059,32.2,28.9
2000,Florida,942,15982378,5.9,6.1
2000,Georgia,674,8186453,8.2,8
2000,Hawaii,37,1211537,3.1,3
2000,Idaho,25,1293953,1.9,2
2000,Illinois,1004,12419293,8.1,8
2000,Indiana,370,6080485,6.1,6
2000,Iowa,59,2926324,2,2.1
2000,Kansas,142,2688418,5.3,5.3
2000,Kentucky,208,4041769,5.1,5.1
2000,Louisiana,601,4468976,13.4,13.2
2000,Maine,19,1274923,NA,NA
2000,Maryland,509,5296486,9.6,9.8
2000,Massachusetts,122,6349097,1.9,1.9
2000,Michigan,729,9938444,7.3,7.3
2000,Minnesota,140,4919479,2.8,2.8
2000,Mississippi,316,2844658,11.1,11.1
2000,Missouri,401,5595211,7.2,7.2
2000,Montana,36,902195,4,4
2000,Nebraska,67,1711263,3.9,3.9
2000,Nevada,134,1998257,6.7,6.6
2000,New Hampshire,15,1235786,NA,NA
2000,New Jersey,331,8414350,3.9,4
2000,New Mexico,161,1819046,8.9,8.8
2000,New York,1002,18976457,5.3,5.3
2000,North Carolina,660,8049313,8.2,8
2000,North Dakota,12,642200,NA,NA
2000,Ohio,471,11353140,4.1,4.2
2000,Oklahoma,203,3450654,5.9,5.9
2000,Oregon,92,3421399,2.7,2.7
2000,Pennsylvania,660,12281054,5.4,5.6
2000,Rhode Island,40,1048319,3.8,3.8
2000,South Carolina,330,4012012,8.2,8.1
2000,South Dakota,15,754844,NA,NA
2000,Tennessee,476,5689283,8.4,8.3
2000,Texas,1328,20851820,6.4,6.2
2000,Utah,53,2233169,2.4,2.4
2000,Vermont,11,608827,NA,NA
2000,Virginia,436,7078515,6.2,6.1
2000,Washington,202,5894121,3.4,3.4
2000,West Virginia,85,1808344,4.7,4.7
2000,Wisconsin,175,5363675,3.3,3.2
2000,Wyoming,12,493782,NA,NA
2001,Alabama,431,4467634,9.6,9.7
2001,Alaska,38,633714,6,5.7
2001,Arizona,494,5273477,9.4,9.3
2001,Arkansas,186,2691571,6.9,7
2001,California,2191,34479458,6.4,6.2
2001,Colorado,166,4425687,3.8,3.6
2001,Connecticut,110,3432835,3.2,3.3
2001,Delaware,32,795699,4,4
2001,District of Columbia,182,574504,31.7,28.2
2001,Florida,975,16356966,6,6.1
2001,Georgia,684,8377038,8.2,7.9
2001,Hawaii,33,1225948,2.7,2.7
2001,Idaho,41,1319962,3.1,3.1
2001,Illinois,1089,12488445,8.7,8.6
2001,Indiana,441,6127760,7.2,7.1
2001,Iowa,63,2931997,2.1,2.1
2001,Kansas,143,2702162,5.3,5.3
2001,Kentucky,225,4068132,5.5,5.5
2001,Louisiana,542,4477875,12.1,12
2001,Maine,18,1285692,NA,NA
2001,Maryland,506,5374691,9.4,9.5
2001,Massachusetts,157,6397634,2.5,2.5
2001,Michigan,694,9991120,6.9,7
2001,Minnesota,129,4982796,2.6,2.6
2001,Mississippi,327,2852994,11.5,11.5
2001,Missouri,443,5641142,7.9,7.9
2001,Montana,32,906961,3.5,3.6
2001,Nebraska,45,1719836,2.6,2.6
2001,Nevada,175,2098399,8.3,8.4
2001,New Hampshire,20,1255517,1.6,1.6
2001,New Jersey,365,8492671,4.3,4.4
2001,New Mexico,130,1831690,7.1,7.1
2001,New York,1052,19082838,5.5,5.5
2001,North Carolina,601,8210122,7.3,7.2
2001,North Dakota,10,639062,NA,NA
2001,Ohio,533,11387404,4.7,4.7
2001,Oklahoma,213,3467100,6.1,6.1
2001,Oregon,104,3467937,3,3
2001,Pennsylvania,650,12298970,5.3,5.5
2001,Rhode Island,32,1057142,3,3
2001,South Carolina,353,4064995,8.7,8.6
2001,South Dakota,18,757972,NA,NA
2001,Tennessee,456,5750789,7.9,7.8
2001,Texas,1423,21319622,6.7,6.5
2001,Utah,76,2283715,3.3,3.4
2001,Vermont,14,612223,NA,NA
2001,Virginia,407,7198362,5.7,5.6
2001,Washington,195,5985722,3.3,3.2
2001,West Virginia,70,1801481,3.9,3.8
2001,Wisconsin,216,5406835,4,4
2001,Wyoming,16,494657,NA,NA
2002,Alabama,421,4480089,9.4,9.4
2002,Alaska,41,642337,6.4,6
